"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2017","142.35","141.50","143.00","139.50","7.95M","0.99%"
"Feb 16, 2017","140.95","137.20","141.70","134.30","11.81M","2.77%"
"Feb 15, 2017","137.15","142.70","143.65","136.20","12.95M","-6.99%"
"Feb 14, 2017","147.45","148.70","151.95","146.00","14.30M","-0.20%"
"Feb 13, 2017","147.75","148.60","149.55","145.50","4.81M","-0.10%"
"Feb 10, 2017","147.90","148.80","149.10","145.75","4.85M","-0.34%"
"Feb 09, 2017","148.40","145.90","150.15","144.80","10.59M","1.92%"
"Feb 08, 2017","145.60","144.45","146.50","141.60","6.06M","1.22%"
"Feb 07, 2017","143.85","145.80","145.80","142.10","4.80M","-1.00%"
"Feb 06, 2017","145.30","144.60","149.30","144.15","11.33M","1.22%"
"Feb 03, 2017","143.55","142.00","144.95","141.10","6.18M","1.38%"
"Feb 02, 2017","141.60","143.65","143.65","139.80","8.23M","-1.53%"
"Feb 01, 2017","143.80","136.70","145.80","135.35","23.72M","6.56%"
"Jan 31, 2017","134.95","136.70","138.45","134.15","5.16M","-1.46%"
"Jan 30, 2017","136.95","136.05","138.80","135.00","6.62M","1.00%"
"Jan 27, 2017","135.60","138.95","140.00","134.40","7.23M","-1.31%"
"Jan 25, 2017","137.40","132.10","138.50","131.65","14.39M","4.45%"
"Jan 24, 2017","131.55","131.20","132.05","130.10","3.74M","0.46%"
"Jan 23, 2017","130.95","127.20","131.40","126.80","5.99M","1.87%"
"Jan 20, 2017","128.55","131.90","134.15","127.70","7.48M","-2.91%"
"Jan 19, 2017","132.40","132.00","133.30","131.20","5.03M","0.42%"
"Jan 18, 2017","131.85","132.00","132.85","130.55","5.67M","0.15%"
"Jan 17, 2017","131.65","130.00","132.90","130.00","13.09M","1.39%"
"Jan 16, 2017","129.85","125.50","131.30","125.10","15.02M","4.63%"
"Jan 13, 2017","124.10","125.45","125.95","122.40","4.88M","-0.92%"
"Jan 12, 2017","125.25","125.35","126.90","123.35","5.49M","0.00%"
"Jan 11, 2017","125.25","126.00","126.30","123.50","11.96M","0.04%"
"Jan 10, 2017","125.20","127.00","127.85","123.85","9.57M","-1.03%"
"Jan 09, 2017","126.50","126.60","128.90","125.10","5.76M","-0.04%"
"Jan 06, 2017","126.55","125.75","129.25","125.05","8.30M","-0.08%"
"Jan 05, 2017","126.65","126.45","127.80","124.45","10.19M","0.92%"
"Jan 04, 2017","125.50","120.30","125.85","119.05","15.56M","5.42%"
"Jan 03, 2017","119.05","118.80","121.00","116.60","10.16M","0.29%"
